timestamp,date,sales,revenue,product_category,region,average_price,units_sold,customer_satisfaction,comments,conversion_rate,return_rate,inventory_level,marketing_spend,discount_percentage,shipping_time_days
2023-01-01,2023-01-01,132,13075.85,Electronics,North,97.06,132,1.1,Would not recommend to others,0.047,0.015,587,738.15,0.26,5
2023-01-02,2023-01-02,120,11654.36,Sports,East,101.38,120,4.6,"Great product, highly recommend!",0.032,0.084,507,679.22,0.16,5
2023-01-03,2023-01-03,105,7825.81,Electronics,South,77.16,105,4.5,Excellent service and fast delivery,0.019,0.098,403,263.91,0.24,4
2023-01-04,2023-01-04,131,15288.73,Home & Garden,North,119.97,131,5.0,Excellent service and fast delivery,0.049,0.069,279,712.21,0.02,1
2023-01-05,2023-01-05,108,28516.9,Electronics,North,258.18,108,4.0,Shipping was delayed but product is good,0.027,0.041,433,988.88,0.01,6
2023-01-06,2023-01-06,117,11561.81,Home & Garden,West,98.95,117,4.5,Best purchase this year,0.046,0.048,349,633.12,0.27,2
2023-01-07,2023-01-07,144,13905.61,Clothing,North,100.26,144,3.9,Good value for money,0.046,0.026,313,974.26,0.05,6
2023-01-08,2023-01-08,152,9750.62,Home & Garden,South,64.5,152,3.1,Good value for money,0.024,0.063,247,451.97,0.29,2
2023-01-09,2023-01-09,117,6637.0,Clothing,Central,58.9,117,4.9,Excellent service and fast delivery,0.028,0.031,166,252.78,0.16,3
2023-01-10,2023-01-10,106,13078.1,Sports,North,121.95,106,3.8,Shipping was delayed but product is good,0.017,0.025,133,762.76,0.2,3
2023-01-11,2023-01-11,107,22884.34,Sports,South,206.28,107,1.8,Broke after a week of use,0.014,0.034,151,578.05,0.28,1
2023-01-12,2023-01-12,111,27620.05,Electronics,West,253.49,111,3.0,Shipping was delayed but product is good,0.012,0.023,987,968.61,0.0,6
2023-01-13,2023-01-13,114,15090.76,Clothing,West,132.17,114,3.0,"Product as described, satisfied",0.037,0.023,126,377.14,0.21,2
2023-01-14,2023-01-14,78,11579.65,Clothing,East,145.94,78,2.8,Shipping was delayed but product is good,0.045,0.026,723,854.3,0.28,5
2023-01-15,2023-01-15,121,15988.82,Home & Garden,South,131.21,121,1.1,Disappointed with the quality,0.047,0.072,708,294.11,0.2,3
2023-01-16,2023-01-16,114,3517.79,Clothing,West,29.39,114,1.2,Would not recommend to others,0.049,0.047,883,804.15,0.17,5
2023-01-17,2023-01-17,98,11551.7,Sports,East,115.93,98,4.2,Amazing! Will buy again,0.04,0.082,492,836.05,0.04,4
2023-01-18,2023-01-18,108,20955.02,Electronics,South,196.06,108,3.8,"Product as described, satisfied",0.026,0.05,313,435.93,0.07,1
2023-01-19,2023-01-19,98,10272.82,Clothing,North,105.21,98,2.5,"Average product, nothing special",0.045,0.057,531,123.08,0.1,3
2023-01-20,2023-01-20,101,12703.14,Home & Garden,West,124.43,101,4.1,"Great product, highly recommend!",0.043,0.075,959,116.41,0.06,1
2023-01-21,2023-01-21,123,17472.37,Clothing,East,136.23,123,1.2,Disappointed with the quality,0.047,0.042,191,537.28,0.08,2
2023-01-22,2023-01-22,129,52064.35,Electronics,Central,411.36,129,3.4,"Average product, nothing special",0.039,0.035,472,209.7,0.05,5
2023-01-23,2023-01-23,126,34658.5,Electronics,North,286.32,126,3.3,"Average product, nothing special",0.02,0.097,535,825.39,0.17,1
2023-01-24,2023-01-24,108,15985.93,Clothing,West,143.44,108,4.5,Mediocre at best,0.019,0.029,649,469.93,0.25,6
2023-01-25,2023-01-25,120,7347.14,Home & Garden,North,62.64,120,4.3,Best purchase this year,0.027,0.07,185,661.47,0.14,4
2023-01-26,2023-01-26,121,44864.88,Electronics,North,381.59,121,1.4,Poor customer service experience,0.011,0.068,646,592.03,0.07,3
2023-01-27,2023-01-27,127,13390.88,Home & Garden,East,109.42,127,3.8,Shipping was delayed but product is good,0.026,0.049,745,723.19,0.3,1
2023-01-28,2023-01-28,131,48137.52,Electronics,Central,375.95,131,1.3,Would not recommend to others,0.013,0.09,272,391.03,0.07,3
2023-01-29,2023-01-29,103,30085.72,Electronics,Central,283.58,103,1.9,"Average product, nothing special",0.032,0.089,685,579.66,0.1,2
2023-01-30,2023-01-30,123,18458.73,Clothing,North,149.21,123,3.9,"Product as described, satisfied",0.029,0.015,606,961.86,0.05,5
2023-01-31,2023-01-31,96,27809.05,Electronics,South,291.12,96,4.0,"Great product, highly recommend!",0.024,0.07,815,934.46,0.07,3
2023-02-01,2023-02-01,157,78280.5,Electronics,North,496.62,157,4.4,Amazing! Will buy again,0.031,0.066,180,779.74,0.04,5
2023-02-02,2023-02-02,87,9439.63,Clothing,North,110.68,87,2.1,"Product as described, satisfied",0.024,0.018,943,598.42,0.09,3
2023-02-03,2023-02-03,111,14816.24,Home & Garden,East,128.11,111,3.0,Okay product but overpriced,0.05,0.087,287,937.54,0.03,5
2023-02-04,2023-02-04,155,28439.7,Home & Garden,East,178.04,155,4.2,Love it! Perfect for my needs,0.022,0.017,462,256.17,0.21,3
2023-02-05,2023-02-05,136,8867.22,Toys,East,67.69,136,4.4,Excellent service and fast delivery,0.047,0.054,645,788.33,0.05,4
2023-02-06,2023-02-06,116,5144.13,Home & Garden,South,46.35,116,1.1,"Average product, nothing special",0.015,0.097,594,969.24,0.13,2
2023-02-07,2023-02-07,87,8744.18,Home & Garden,East,99.11,87,1.9,Would not recommend to others,0.035,0.069,236,155.21,0.23,3
2023-02-08,2023-02-08,86,43636.1,Electronics,North,497.69,86,4.9,Mediocre at best,0.02,0.023,209,372.95,0.03,5
2023-02-09,2023-02-09,134,38592.97,Electronics,South,279.24,134,3.5,Shipping was delayed but product is good,0.022,0.066,574,483.48,0.04,6
2023-02-10,2023-02-10,127,6929.06,Home & Garden,South,55.03,127,4.3,Best purchase this year,0.039,0.079,109,474.54,0.14,1
2023-02-11,2023-02-11,111,43680.17,Electronics,West,392.13,111,1.9,Not worth the price,0.01,0.032,978,821.38,0.29,3
2023-02-12,2023-02-12,134,41110.5,Electronics,East,296.58,134,1.4,Poor customer service experience,0.03,0.024,392,763.62,0.14,3
2023-02-13,2023-02-13,134,14301.44,Home & Garden,Central,102.7,134,4.8,Mediocre at best,0.041,0.038,719,493.84,0.08,6
2023-02-14,2023-02-14,109,50363.06,Electronics,East,455.79,109,3.6,"Product as described, satisfied",0.046,0.067,652,159.99,0.16,1
2023-02-15,2023-02-15,121,9715.47,Clothing,South,84.15,121,1.3,Disappointed with the quality,0.039,0.016,164,110.9,0.29,5
2023-02-16,2023-02-16,101,7614.56,Home & Garden,East,73.38,101,3.6,Good value for money,0.017,0.026,188,694.27,0.23,2
2023-02-17,2023-02-17,167,14228.08,Electronics,East,86.98,167,4.1,Love it! Perfect for my needs,0.035,0.044,285,209.25,0.18,5
2023-02-18,2023-02-18,110,9971.22,Clothing,South,86.59,110,4.2,"Great product, highly recommend!",0.022,0.098,641,624.18,0.22,5
2023-02-19,2023-02-19,111,3737.96,Clothing,East,32.29,111,1.9,Broke after a week of use,0.025,0.049,495,651.65,0.28,2
2023-02-20,2023-02-20,148,20851.2,Electronics,West,138.86,148,2.1,"Product as described, satisfied",0.043,0.088,861,927.03,0.08,5
2023-02-21,2023-02-21,135,23800.83,Home & Garden,West,171.56,135,3.6,Okay product but overpriced,0.017,0.059,986,943.65,0.01,1
2023-02-22,2023-02-22,130,47566.89,Electronics,East,376.69,130,3.0,"Product as described, satisfied",0.044,0.076,588,631.31,0.15,2
2023-02-23,2023-02-23,138,20142.75,Home & Garden,South,144.0,138,4.0,Excellent service and fast delivery,0.016,0.052,108,322.01,0.22,6
2023-02-24,2023-02-24,160,35815.26,Electronics,Central,230.67,160,3.2,Shipping was delayed but product is good,0.039,0.065,269,419.85,0.24,4
2023-02-25,2023-02-25,117,47044.48,Electronics,Central,392.45,117,1.8,"Average product, nothing special",0.048,0.043,394,234.0,0.09,6
2023-02-26,2023-02-26,130,5733.79,Toys,Central,43.15,130,4.5,Love it! Perfect for my needs,0.034,0.045,471,726.06,0.0,4
2023-02-27,2023-02-27,103,16932.46,Home & Garden,East,162.96,103,2.9,Okay product but overpriced,0.036,0.016,621,605.34,0.17,4
2023-02-28,2023-02-28,120,15323.22,Clothing,South,123.67,120,3.0,"Product as described, satisfied",0.013,0.015,400,806.41,0.21,5
2023-03-01,2023-03-01,115,11216.05,Home & Garden,West,99.24,115,2.7,Shipping was delayed but product is good,0.014,0.03,638,762.1,0.3,6
2023-03-02,2023-03-02,117,8648.81,Clothing,North,71.87,117,1.5,Disappointed with the quality,0.026,0.086,445,614.69,0.18,2
2023-03-03,2023-03-03,105,8021.53,Home & Garden,South,80.21,105,4.3,"Great product, highly recommend!",0.021,0.057,368,946.61,0.08,3
2023-03-04,2023-03-04,106,23418.03,Sports,West,214.44,106,2.8,"Product as described, satisfied",0.029,0.022,172,755.15,0.15,3
2023-03-05,2023-03-05,112,13400.65,Clothing,North,118.34,112,1.5,Broke after a week of use,0.04,0.069,960,162.06,0.02,2
2023-03-06,2023-03-06,159,24979.64,Electronics,West,161.14,159,2.1,Okay product but overpriced,0.04,0.05,799,158.83,0.15,1
2023-03-07,2023-03-07,123,56503.91,Electronics,West,457.9,123,2.6,Shipping was delayed but product is good,0.024,0.091,119,697.41,0.29,4
2023-03-08,2023-03-08,120,1416.04,Books,East,12.09,120,3.9,Shipping was delayed but product is good,0.049,0.033,688,278.29,0.17,3
2023-03-09,2023-03-09,119,7409.9,Toys,North,64.77,119,1.6,Broke after a week of use,0.019,0.033,865,605.1,0.16,1
2023-03-10,2023-03-10,114,21834.75,Sports,Central,187.63,114,3.2,Good value for money,0.013,0.051,536,249.2,0.28,6
2023-03-11,2023-03-11,124,9743.74,Clothing,East,77.41,124,3.2,"Average product, nothing special",0.012,0.056,825,513.32,0.02,5
2023-03-12,2023-03-12,130,21262.09,Electronics,East,166.38,130,4.0,"Great product, highly recommend!",0.031,0.028,890,891.62,0.26,2
2023-03-13,2023-03-13,161,30263.05,Home & Garden,South,197.3,161,1.3,Poor customer service experience,0.029,0.092,584,548.03,0.03,4
2023-03-14,2023-03-14,146,16896.78,Sports,North,110.59,146,1.8,Poor customer service experience,0.031,0.036,813,619.83,0.19,5
2023-03-15,2023-03-15,144,25689.32,Home & Garden,Central,184.72,144,3.8,"Average product, nothing special",0.042,0.039,871,915.53,0.08,6
2023-03-16,2023-03-16,80,11716.69,Electronics,Central,140.91,80,3.6,"Product as described, satisfied",0.016,0.05,653,175.12,0.26,5
2023-03-17,2023-03-17,140,28487.0,Home & Garden,East,194.08,140,3.7,Good value for money,0.035,0.025,893,484.74,0.05,1
2023-03-18,2023-03-18,151,18032.0,Home & Garden,Central,114.93,151,1.3,Would not recommend to others,0.039,0.027,872,837.16,0.16,5
2023-03-19,2023-03-19,162,42275.23,Electronics,South,262.03,162,2.4,Shipping was delayed but product is good,0.03,0.085,401,256.39,0.21,5
2023-03-20,2023-03-20,113,17576.21,Electronics,East,157.94,113,2.8,"Product as described, satisfied",0.04,0.069,658,417.14,0.25,3
2023-03-21,2023-03-21,96,6552.43,Toys,Central,67.07,96,2.3,"Product as described, satisfied",0.037,0.016,257,870.16,0.07,6
2023-03-22,2023-03-22,135,45863.04,Electronics,North,339.3,135,2.2,Shipping was delayed but product is good,0.019,0.013,373,687.85,0.28,6
2023-03-23,2023-03-23,131,15527.34,Clothing,East,121.44,131,4.6,Best purchase this year,0.037,0.06,199,502.35,0.14,6
2023-03-24,2023-03-24,184,15645.16,Home & Garden,North,88.47,184,2.7,Okay product but overpriced,0.012,0.077,926,352.03,0.26,2
2023-03-25,2023-03-25,149,5695.21,Books,East,40.16,149,4.9,"Great product, highly recommend!",0.039,0.037,846,353.37,0.26,1
2023-03-26,2023-03-26,116,9943.88,Clothing,South,87.99,116,1.0,"Average product, nothing special",0.029,0.037,638,367.51,0.09,5
2023-03-27,2023-03-27,144,66810.2,Electronics,South,456.3,144,3.4,Good value for money,0.046,0.027,171,315.56,0.24,1
2023-03-28,2023-03-28,163,32535.76,Home & Garden,North,199.18,163,1.3,Broke after a week of use,0.043,0.064,203,184.47,0.27,5
2023-03-29,2023-03-29,135,30126.45,Sports,West,222.77,135,2.7,Good value for money,0.023,0.049,796,641.73,0.27,3
2023-03-30,2023-03-30,118,12066.38,Clothing,Central,100.23,118,1.9,Disappointed with the quality,0.03,0.019,446,538.9,0.2,6
