"file","line_start","line_end","type","description","test_status","test_file","notes"
"README.md","32","32","bash","```bash","test_created","tests/snippet_tests_working/test_snippets_batch_1.py","Working test created with basic validation"
"README.md","37","40","bash","```","test_created","tests/snippet_tests_working/test_snippets_batch_1.py","Working test created with basic validation"
"README.md","48","66","yaml","1. **Create a simple pipeline** (`hello_world.yaml`):","test_created","tests/snippet_tests_working/test_snippets_batch_1.py","Working test created with basic validation"
"README.md","72","81","python","2. **Run the pipeline**:","test_created","tests/snippet_tests_working/test_snippets_batch_1.py","Working test created with basic validation"
"README.md","89","95","yaml","Orchestrator's `<AUTO>` tags let AI decide configuration details:","test_created","tests/snippet_tests_working/test_snippets_batch_1.py","Working test created with basic validation"
"README.md","103","125","yaml","Configure available models in `models.yaml`:","test_created","tests/snippet_tests_working/test_snippets_batch_1.py","Working test created with basic validation"
"README.md","135","192","yaml","Here's a more complex example showing model requirements and parallel execution:","test_created","tests/snippet_tests_working/test_snippets_batch_1.py","Working test created with basic validation"
"README.md","200","274","yaml","Here's a fully functional pipeline that generates research reports:","test_created","tests/snippet_tests_working/test_snippets_batch_1.py","Working test created with basic validation"
"README.md","280","294","python","Run it with:","test_created","tests/snippet_tests_working/test_snippets_batch_1.py","Working test created with basic validation"
"README.md","353","359","bibtex","If you use Orchestrator in your research, please cite:","test_created","tests/snippet_tests_working/test_snippets_batch_1.py","Working test created with basic validation"
"design.md","12","47","unknown","```","test_created","tests/snippet_tests_working/test_snippets_batch_2.py","Working test created with basic validation"
"design.md","63","89","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_2.py","Working test created with basic validation"
"design.md","95","135","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_2.py","Working test created with basic validation"
"design.md","141","171","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_2.py","Working test created with basic validation"
"design.md","177","200","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_2.py","Working test created with basic validation"
"design.md","208","271","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_2.py","Working test created with basic validation"
"design.md","277","338","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_2.py","Working test created with basic validation"
"design.md","344","435","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_2.py","Working test created with basic validation"
"design.md","441","553","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_2.py","Working test created with basic validation"
"design.md","559","677","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_2.py","Working test created with basic validation"
"design.md","685","740","yaml","```yaml","test_created","tests/snippet_tests_working/test_snippets_batch_3.py","Working test created with basic validation"
"design.md","746","794","yaml","```yaml","test_created","tests/snippet_tests_working/test_snippets_batch_3.py","Working test created with basic validation"
"design.md","802","836","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_3.py","Working test created with basic validation"
"design.md","842","903","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_3.py","Working test created with basic validation"
"design.md","909","1012","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_3.py","Working test created with basic validation"
"design.md","1020","1062","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_3.py","Working test created with basic validation"
"design.md","1068","1116","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_3.py","Working test created with basic validation"
"design.md","1124","1152","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_3.py","Working test created with basic validation"
"design.md","1158","1196","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_3.py","Working test created with basic validation"
"design.md","1202","1232","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_3.py","Working test created with basic validation"
"design.md","1240","1271","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_4.py","Working test created with basic validation"
"design.md","1277","1320","python","```python","test_created","tests/snippet_tests_working/test_snippets_batch_4.py","Working test created with basic validation"
"design.md","1328","1444","yaml","```yaml","test_created","tests/snippet_tests_working/test_snippets_batch_4.py","Working test created with basic validation"
"design.md","1450","1527","yaml","```yaml","test_created","tests/snippet_tests_working/test_snippets_batch_4.py","Working test created with basic validation"
"design.md","1535","1577","yaml","```yaml","test_created","tests/snippet_tests_working/test_snippets_batch_4.py","Working test created with basic validation"
